TO,LOCATION
DATA[0],PIN_AB12
DATA[1],PIN_AC12
DATA[2],PIN_AF9
DATA[3],PIN_AF10
SEG[0],PIN_V16
SEG[1],PIN_W16
SEG[2],PIN_V17
SEG[3],PIN_V18
SEG[4],PIN_W17
SEG[5],PIN_W19
SEG[6],PIN_Y19
