TO,LOCATION
SW_D(0),PIN_AB12
SW_D(1),PIN_AC12
SW_D(2),PIN_AF9
SW_D(3),PIN_AF10
SW_D(4),PIN_AD11
SW_D(5),PIN_AD12
SW_D(6),PIN_AE11
SW_D(7),PIN_AC9
KEY_C,PIN_AA14
LED_S(0),PIN_V16
LED_S(1),PIN_W16
LED_S(2),PIN_V17
LED_S(3),PIN_V18
LED_S(4),PIN_W17
LED_S(5),PIN_W19
LED_S(6),PIN_Y19
LED_S(7),PIN_W20
