TO,LOCATION
CLK,PIN_AF14
RST,PIN_AA14
COMPLETE_TICK,PIN_Y21
COUNT[8],PIN_W21
COUNT[7],PIN_W20
COUNT[6],PIN_Y19
COUNT[5],PIN_W19
COUNT[4],PIN_W17
COUNT[3],PIN_V18
COUNT[2],PIN_V17
COUNT[1],PIN_W16
COUNT[0],PIN_V16
