TO,LOCATION
CLK50,PIN_AF14
KEY_RST,PIN_AA14
EX0_SEG[0],PIN_AE26
EX0_SEG[1],PIN_AE27
EX0_SEG[2],PIN_AE28
EX0_SEG[3],PIN_AG27
EX0_SEG[4],PIN_AF28
EX0_SEG[5],PIN_AG28
EX0_SEG[6],PIN_AH28
LED_COMPLETE_TICK,PIN_V16
